,co2,temp,humidity,pressure,gas_resistance,pm1_0,pm2_5,pm4_0,pm10_0,pnc_0_5,pnc_1_0,pnc_2_5,pnc_4_0,pnc_10_0,tps,
[2026-05-06 14:40:45.741] ,464,29.11,28.01,100550.38,242711.55,1.45,1.54,1.54,1.54,10.2,11.56,11.6,11.6,11.6,0.42,
[2026-05-06 14:40:50.753] ,463,29.11,28.02,100549.59,244976.08,1.52,1.61,1.61,1.61,10.69,12.11,12.16,12.16,12.16,0.42,
[2026-05-06 14:40:55.765] ,464,29.1,28.01,100549.12,244449.75,1.51,1.59,1.59,1.59,10.58,11.99,12.03,12.03,12.03,0.42,
[2026-05-06 14:41:00.782] ,463,29.09,27.99,100550.78,243751.48,1.41,1.49,1.49,1.49,9.88,11.2,11.24,11.25,11.25,0.42,
[2026-05-06 14:41:05.787] ,462,29.09,28.03,100550.15,246213.03,1.23,1.3,1.3,1.3,8.64,9.8,9.83,9.84,9.84,0.42,
[2026-05-06 14:41:10.804] ,462,29.08,28.08,100549.59,244624.94,1.17,1.24,1.24,1.24,8.24,9.34,9.37,9.37,9.37,0.42,
[2026-05-06 14:41:15.817] ,461,29.07,28.13,100550.51,245858.34,1.26,1.33,1.33,1.33,8.81,9.99,10.02,10.03,10.03,0.42,
[2026-05-06 14:41:20.835] ,458,29.07,28.15,100550.08,244624.94,1.37,1.45,1.45,1.45,9.61,10.89,10.93,10.93,10.93,0.43,
[2026-05-06 14:41:25.848] ,459,29.07,28.19,100549.46,246568.75,1.38,1.46,1.46,1.46,9.66,10.95,10.99,10.99,10.99,0.42,
[2026-05-06 14:41:30.861] ,461,29.06,28.29,100551.09,246035.56,1.37,1.44,1.44,1.44,9.58,10.86,10.9,10.9,10.9,0.43,
[2026-05-06 14:41:35.865] ,463,29.05,28.41,100551.15,248906.17,1.38,1.46,1.46,1.46,9.69,10.98,11.02,11.02,11.03,0.43,
[2026-05-06 14:41:40.885] ,462,29.01,28.49,100548.56,248543.69,1.28,1.35,1.35,1.35,8.98,10.18,10.22,10.22,10.22,0.42,
[2026-05-06 14:41:45.892] ,462,29.01,28.56,100549.88,249451.89,1.19,1.26,1.26,1.26,8.36,9.48,9.52,9.52,9.52,0.42,
[2026-05-06 14:41:50.906] ,462,29.02,28.62,100549.16,248182.27,1.18,1.25,1.25,1.25,8.29,9.39,9.43,9.43,9.43,0.42,
[2026-05-06 14:41:55.916] ,462,29.02,28.64,100549.91,249634.33,1.13,1.2,1.2,1.2,7.95,9.01,9.05,9.05,9.05,0.42,
[2026-05-06 14:42:00.931] ,460,29,28.66,100549.84,250183.23,1.1,1.16,1.16,1.16,7.69,8.72,8.75,8.75,8.75,0.42,
[2026-05-06 14:42:05.946] ,459,28.99,28.65,100549.74,249634.33,1.08,1.14,1.14,1.14,7.58,8.59,8.62,8.63,8.63,0.42,
[2026-05-06 14:42:10.960] ,461,28.98,28.65,100550.48,248724.8,1.05,1.11,1.11,1.11,7.37,8.36,8.39,8.39,8.39,0.42,
[2026-05-06 14:42:15.965] ,462,28.97,28.67,100549.62,251844.56,1,1.06,1.06,1.06,7.01,7.95,7.98,7.98,7.98,0.42,
[2026-05-06 14:42:20.982] ,460,28.95,28.66,100548.61,254853.16,0.88,0.93,0.93,0.93,6.18,7,7.03,7.03,7.03,0.42,
[2026-05-06 14:42:25.995] ,459,28.95,28.65,100548.74,254283.58,0.88,0.93,0.93,0.93,6.16,6.98,7.01,7.01,7.01,0.42,
[2026-05-06 14:42:31.008] ,458,28.93,28.64,100548.89,255043.59,1.01,1.07,1.07,1.07,7.07,8.01,8.04,8.04,8.04,0.42,
[2026-05-06 14:42:36.019] ,459,28.89,28.65,100549.12,255043.59,1.03,1.09,1.09,1.09,7.25,8.22,8.25,8.25,8.25,0.42,
[2026-05-06 14:42:41.032] ,456,28.81,28.76,100548.48,252403.25,1.14,1.21,1.21,1.21,8.03,9.1,9.13,9.14,9.14,0.42,
[2026-05-06 14:42:46.041] ,456,28.83,28.98,100548.02,252030.52,1.32,1.4,1.4,1.4,9.28,10.52,10.55,10.56,10.56,0.42,
[2026-05-06 14:42:51.056] ,459,28.83,29.12,100548.13,253905.28,1.41,1.5,1.5,1.5,9.92,11.24,11.28,11.29,11.29,0.42,
[2026-05-06 14:42:56.073] ,458,28.82,29.11,100547.54,253339.94,1.46,1.55,1.55,1.55,10.27,11.65,11.69,11.69,11.69,0.42,
[2026-05-06 14:43:01.086] ,457,28.83,29.08,100548.12,254663.02,1.5,1.59,1.59,1.59,10.52,11.92,11.97,11.97,11.97,0.42,
[2026-05-06 14:43:06.102] ,457,28.83,29.07,100548.33,256000,1.39,1.47,1.47,1.47,9.77,11.08,11.12,11.12,11.12,0.42,
[2026-05-06 14:43:11.108] ,457,28.8,29.01,100548.59,255043.59,1.26,1.34,1.34,1.34,8.87,10.06,10.09,10.09,10.1,0.42,
[2026-05-06 14:43:16.126] ,457,28.83,28.97,100549.23,255425.3,1.16,1.23,1.23,1.23,8.14,9.22,9.25,9.26,9.26,0.42,
[2026-05-06 14:43:21.142] ,459,28.83,28.92,100548.38,257351.09,1.09,1.15,1.15,1.15,7.63,8.65,8.68,8.68,8.68,0.42,
[2026-05-06 14:43:26.156] ,460,28.83,28.9,100548.6,257157.2,1.02,1.08,1.08,1.08,7.17,8.12,8.15,8.15,8.16,0.42,
[2026-05-06 14:43:31.171] ,459,28.82,28.91,100548.42,256192.14,1.06,1.12,1.12,1.12,7.42,8.41,8.44,8.44,8.44,0.42,
[2026-05-06 14:43:36.185] ,458,28.8,28.92,100549.02,258324.92,1.11,1.18,1.18,1.18,7.8,8.84,8.88,8.88,8.88,0.42,
[2026-05-06 14:43:41.195] ,456,28.81,28.93,100549.85,256963.61,1.14,1.21,1.21,1.21,8,9.07,9.1,9.1,9.1,0.42,
[2026-05-06 14:43:46.214] ,455,28.82,28.91,100548.38,257351.09,1.08,1.14,1.14,1.14,7.56,8.57,8.6,8.6,8.6,0.42,
[2026-05-06 14:43:51.226] ,456,28.8,28.92,100547.87,257157.2,1,1.05,1.05,1.05,6.98,7.91,7.94,7.94,7.94,0.42,
[2026-05-06 14:43:56.240] ,456,28.79,28.89,100547.75,258520.58,1.12,1.19,1.19,1.19,7.88,8.93,8.96,8.96,8.96,0.43,
[2026-05-06 14:44:01.255] ,458,28.8,28.86,100548.24,257157.2,1.21,1.28,1.28,1.28,8.51,9.65,9.68,9.68,9.68,0.42,
[2026-05-06 14:44:06.271] ,456,28.8,28.87,100548.7,258129.56,1.2,1.27,1.27,1.27,8.39,9.52,9.55,9.55,9.55,0.42,
[2026-05-06 14:44:11.275] ,459,28.81,28.88,100549.19,259109.31,1.12,1.19,1.19,1.19,7.89,8.94,8.97,8.97,8.98,0.43,
[2026-05-06 14:44:16.294] ,459,28.82,28.87,100550.02,257739.75,1.22,1.29,1.29,1.29,8.54,9.68,9.71,9.71,9.71,0.43,
[2026-05-06 14:44:21.308] ,460,28.83,28.87,100550.11,259898.48,1.28,1.36,1.36,1.36,9,10.2,10.24,10.24,10.24,0.43,
[2026-05-06 14:44:26.325] ,458,28.82,28.86,100549.32,259503.3,1.24,1.31,1.31,1.31,8.7,9.86,9.9,9.9,9.9,0.43,
[2026-05-06 14:44:31.333] ,458,28.83,28.86,100549.99,259503.3,1.1,1.16,1.16,1.16,7.69,8.72,8.75,8.75,8.75,0.43,
[2026-05-06 14:44:36.349] ,458,28.82,28.85,100548.91,260294.86,1.25,1.33,1.33,1.33,8.8,9.97,10.01,10.01,10.01,0.43,
[2026-05-06 14:44:41.367] ,460,28.83,28.85,100549.27,260294.86,1.37,1.45,1.45,1.45,9.62,10.9,10.94,10.95,10.95,0.43,
[2026-05-06 14:44:46.385] ,461,28.83,28.8,100549.2,261892.58,1.3,1.37,1.37,1.37,9.1,10.32,10.35,10.36,10.36,0.43,
[2026-05-06 14:44:51.399] ,462,28.83,28.79,100549.55,258716.53,1.26,1.34,1.34,1.34,8.87,10.05,10.09,10.09,10.09,0.43,
[2026-05-06 14:44:56.407] ,463,28.83,28.81,100548.57,258324.92,1.28,1.35,1.35,1.35,8.96,10.16,10.19,10.19,10.2,0.43,
[2026-05-06 14:45:01.422] ,464,28.84,28.83,100548.77,255808.14,1.28,1.35,1.35,1.35,8.98,10.18,10.22,10.22,10.22,0.43,
[2026-05-06 14:45:06.441] ,462,28.85,28.8,100548.15,257351.09,1.26,1.33,1.33,1.33,8.81,9.98,10.02,10.02,10.02,0.43,
[2026-05-06 14:45:11.453] ,464,28.85,28.64,100548.88,258912.77,1.28,1.35,1.35,1.35,8.95,10.15,10.18,10.19,10.19,0.43,
[2026-05-06 14:45:16.463] ,467,28.85,28.5,100548.17,259109.31,1.28,1.35,1.35,1.35,8.95,10.14,10.18,10.18,10.18,0.43,
[2026-05-06 14:45:21.486] ,465,28.86,28.39,100547.69,258716.53,1.36,1.43,1.43,1.43,9.51,10.78,10.82,10.82,10.82,0.44,
[2026-05-06 14:45:26.495] ,465,28.86,28.37,100549.16,258912.77,1.39,1.47,1.47,1.47,9.77,11.08,11.12,11.12,11.12,0.44,
[2026-05-06 14:45:31.513] ,464,28.87,28.46,100549.61,262496.78,1.38,1.46,1.46,1.46,9.65,10.94,10.98,10.99,10.99,0.43,
[2026-05-06 14:45:36.517] ,463,28.87,28.56,100549.61,261091.28,1.48,1.56,1.57,1.57,10.34,11.73,11.77,11.77,11.78,0.44,
[2026-05-06 14:45:41.535] ,461,28.86,28.61,100549.63,261291.14,1.46,1.55,1.56,1.56,10.24,11.62,11.67,11.67,11.68,0.44,
[2026-05-06 14:45:46.552] ,461,28.87,28.64,100549.09,260891.72,1.47,1.55,1.56,1.56,10.28,11.66,11.71,11.71,11.71,0.43,
[2026-05-06 14:45:51.569] ,462,28.87,28.65,100549.31,262698.81,1.45,1.53,1.53,1.53,10.14,11.49,11.54,11.54,11.54,0.44,
[2026-05-06 14:45:56.578] ,461,28.86,28.65,100549.99,262093.67,1.42,1.51,1.52,1.52,9.96,11.3,11.34,11.35,11.35,0.44,
[2026-05-06 14:46:01.592] ,460,28.86,28.62,100550.84,261491.31,1.3,1.38,1.39,1.39,9.09,10.32,10.36,10.36,10.37,0.44,
[2026-05-06 14:46:06.612] ,459,28.86,28.59,100550.19,261091.28,1.34,1.43,1.44,1.44,9.35,10.62,10.67,10.67,10.67,0.44,
[2026-05-06 14:46:11.625] ,458,28.86,28.56,100551.2,260294.86,1.31,1.4,1.41,1.42,9.14,10.39,10.44,10.44,10.44,0.45,
[2026-05-06 14:46:16.636] ,457,28.86,28.54,100551.67,261091.28,1.31,1.41,1.42,1.43,9.18,10.43,10.48,10.49,10.49,0.45,
[2026-05-06 14:46:21.649] ,456,28.87,28.58,100551.34,260891.72,1.31,1.4,1.42,1.43,9.16,10.41,10.47,10.47,10.47,0.45,
[2026-05-06 14:46:26.665] ,455,28.85,28.6,100550.64,260891.72,1.32,1.41,1.43,1.43,9.2,10.46,10.52,10.52,10.52,0.45,
[2026-05-06 14:46:31.675] ,456,28.85,28.62,100551.41,259700.73,1.28,1.37,1.38,1.39,8.91,10.12,10.17,10.18,10.18,0.44,
[2026-05-06 14:46:36.688] ,459,28.85,28.63,100551.59,261691.8,1.2,1.29,1.3,1.31,8.41,9.56,9.61,9.62,9.62,0.44,
[2026-05-06 14:46:41.705] ,459,28.85,28.64,100550.61,259503.3,1.17,1.25,1.26,1.27,8.15,9.26,9.31,9.31,9.31,0.44,
[2026-05-06 14:46:46.717] ,457,28.85,28.51,100549.56,260891.72,1.17,1.25,1.27,1.27,8.16,9.28,9.32,9.33,9.33,0.44,
[2026-05-06 14:46:51.738] ,458,28.85,28.47,100550.66,259503.3,1.2,1.28,1.3,1.31,8.37,9.52,9.57,9.57,9.57,0.44,
[2026-05-06 14:46:56.748] ,460,28.87,28.34,100550.49,259700.73,1.26,1.35,1.37,1.37,8.8,10.01,10.06,10.07,10.07,0.44,
[2026-05-06 14:47:01.765] ,458,28.88,28.21,100551.94,260294.86,1.22,1.31,1.32,1.33,8.51,9.68,9.73,9.73,9.73,0.44,
[2026-05-06 14:47:06.781] ,458,28.88,28.14,100552.79,258520.58,1.18,1.27,1.28,1.29,8.25,9.38,9.42,9.43,9.43,0.44,
[2026-05-06 14:47:11.795] ,459,28.87,28.11,100552.71,259898.48,1.25,1.33,1.34,1.34,8.77,9.95,9.99,10,10,0.44,
[2026-05-06 14:47:16.803] ,459,28.86,28.22,100552.93,259898.48,1.42,1.51,1.51,1.51,9.96,11.3,11.34,11.34,11.34,0.44,
[2026-05-06 14:47:21.816] ,461,28.86,28.35,100551.27,261691.8,1.62,1.72,1.72,1.72,11.36,12.88,12.93,12.93,12.93,0.44,
[2026-05-06 14:47:26.831] ,461,28.88,28.44,100550.22,262901.16,1.58,1.68,1.69,1.69,11.09,12.58,12.63,12.63,12.63,0.44,
[2026-05-06 14:47:31.851] ,460,28.87,28.45,100550.85,263917.53,1.43,1.52,1.53,1.53,10.03,11.38,11.43,11.43,11.43,0.44,
[2026-05-06 14:47:36.866] ,461,28.87,28.46,100549.96,261691.8,1.26,1.34,1.35,1.35,8.8,9.99,10.03,10.03,10.04,0.44,
[2026-05-06 14:47:41.871] ,460,28.87,28.4,100549.53,260692.47,1.32,1.41,1.42,1.43,9.26,10.52,10.57,10.57,10.57,0.44,
[2026-05-06 14:47:46.893] ,460,28.88,28.36,100550.95,259503.3,1.41,1.51,1.52,1.52,9.86,11.2,11.25,11.25,11.25,0.44,
