,co2,temp,humidity,pressure,gas_resistance,pm1_0,pm2_5,pm4_0,pm10_0,pnc_0_5,pnc_1_0,pnc_2_5,pnc_4_0,pnc_10_0,tps,
[2026-05-06 15:39:55.913] ,423,28.89,28.63,100544.48,257351.09,130.81,142.47,145.9,147.69,907.75,1035.84,1043.29,1044.09,1044.27,0.48,
[2026-05-06 15:40:00.934] ,423,28.91,28.69,100544.87,260096.52,131.54,143.08,146.36,148.07,913.34,1041.88,1049.2,1049.98,1050.15,0.47,
[2026-05-06 15:40:05.951] ,422,28.91,28.72,100544.18,262093.67,133.65,144.98,147.99,149.56,928.93,1059.01,1066.09,1066.82,1066.99,0.46,
[2026-05-06 15:40:10.965] ,422,28.89,28.66,100542.99,260096.52,132.71,143.87,146.79,148.31,922.62,1051.67,1058.62,1059.33,1059.5,0.48,
[2026-05-06 15:40:15.975] ,421,28.87,28.61,100542.49,261291.14,128.81,139.68,142.55,144.04,895.4,1020.71,1027.49,1028.19,1028.35,0.48,
[2026-05-06 15:40:20.998] ,423,28.87,28.59,100543.33,261691.8,123.99,134.56,137.41,138.9,861.59,982.35,988.98,989.67,989.82,0.47,
[2026-05-06 15:40:26.009] ,421,28.87,28.58,100544.17,260891.72,118.93,129.19,132.03,133.51,826.15,942.15,948.62,949.3,949.45,0.48,
[2026-05-06 15:40:31.020] ,420,28.87,28.58,100543.05,263510.03,117.37,127.83,130.9,132.5,814.55,929.47,936.15,936.87,937.03,0.49,
[2026-05-06 15:40:36.037] ,418,28.84,28.54,100545.15,263510.03,115.38,126.31,129.86,131.71,799.14,912.97,920.13,920.92,921.09,0.51,
[2026-05-06 15:40:41.055] ,419,28.82,28.48,100543.94,261491.31,113.21,124.33,128.15,130.14,783.13,895.36,902.75,903.58,903.76,0.51,
[2026-05-06 15:40:46.063] ,418,28.82,28.51,100543.34,263713.62,111.72,122.67,126.43,128.38,772.87,883.6,890.87,891.69,891.86,0.48,
[2026-05-06 15:40:51.087] ,416,28.82,28.57,100543.09,263917.53,111.81,122.61,126.23,128.12,773.92,884.52,891.64,892.44,892.61,0.49,
[2026-05-06 15:40:56.094] ,417,28.82,28.62,100545.32,264531.12,114.83,125.77,129.35,131.22,795.25,908.62,915.8,916.59,916.76,0.5,
[2026-05-06 15:41:01.116] ,417,28.82,28.66,100545.24,263306.75,125.83,137.32,140.83,142.67,872.61,996.18,1003.59,1004.39,1004.57,0.46,
[2026-05-06 15:41:06.132] ,419,28.8,28.6,100545.68,261691.8,126.77,138.16,141.55,143.31,879.56,1003.8,1011.1,1011.89,1012.06,0.5,
[2026-05-06 15:41:11.139] ,416,28.78,28.55,100543.88,256577.3,126.03,137.01,140.09,141.71,875.2,998.26,1005.21,1005.94,1006.11,0.49,
[2026-05-06 15:41:16.158] ,416,28.78,28.58,100544.28,255616.58,126.23,137.03,139.96,141.49,877.08,1000.07,1006.86,1007.56,1007.73,0.5,
[2026-05-06 15:41:21.180] ,417,28.76,28.61,100545.01,259306.16,127.12,137.99,140.93,142.47,883.31,1007.16,1013.98,1014.69,1014.86,0.49,
[2026-05-06 15:41:26.194] ,415,28.77,28.62,100545.02,259700.73,125.74,136.46,139.35,140.86,873.8,996.27,1002.99,1003.69,1003.85,0.49,
[2026-05-06 15:41:31.205] ,416,28.77,28.67,100545.77,263917.53,124.81,135.28,138,139.42,867.77,989.09,995.61,996.27,996.43,0.48,
[2026-05-06 15:41:36.225] ,417,28.77,28.65,100546.34,264121.75,126.02,136.58,139.32,140.75,876.17,998.66,1005.23,1005.9,1006.06,0.47,
[2026-05-06 15:41:41.232] ,418,28.77,28.71,100545.64,267642.44,126.52,136.96,139.58,140.94,880.03,1002.78,1009.23,1009.89,1010.04,0.48,
[2026-05-06 15:41:46.255] ,418,28.77,28.73,100544.34,254473.16,125.42,135.73,138.3,139.64,872.43,994.07,1000.44,1001.08,1001.23,0.49,
[2026-05-06 15:41:51.267] ,418,28.78,28.72,100546.15,254663.02,123.62,133.98,136.68,138.08,859.47,979.63,986.08,986.74,986.89,0.52,
[2026-05-06 15:41:56.285] ,418,28.79,28.73,100546.12,252403.25,120.64,130.96,133.75,135.21,838.26,955.79,962.27,962.94,963.1,0.51,
[2026-05-06 15:42:01.295] ,419,28.81,28.73,100545.22,250183.23,117.78,128.08,130.99,132.51,817.86,932.91,939.44,940.13,940.28,0.48,
[2026-05-06 15:42:06.312] ,419,28.81,28.72,100544.4,252777.09,117.48,127.84,130.82,132.38,815.59,930.47,937.06,937.76,937.91,0.48,
[2026-05-06 15:42:11.327] ,421,28.82,28.67,100544.98,252590.03,116.68,127.21,130.36,132.01,809.42,923.84,930.6,931.33,931.49,0.51,
[2026-05-06 15:42:16.346] ,420,28.82,28.58,100546.38,256963.61,113.23,123.57,126.73,128.38,785.19,896.38,903.06,903.78,903.94,0.49,
[2026-05-06 15:42:21.355] ,421,28.8,28.55,100546.38,251473.48,112.32,122.72,125.98,127.68,778.51,889.01,895.76,896.5,896.66,0.49,
[2026-05-06 15:42:26.373] ,422,28.78,28.61,100547.71,249634.33,114.15,125.04,128.61,130.48,790.48,903.2,910.35,911.14,911.31,0.51,
[2026-05-06 15:42:31.384] ,420,28.78,28.72,100547.95,250918.89,115.08,126.01,129.57,131.43,797.03,910.61,917.77,918.56,918.73,0.49,
[2026-05-06 15:42:36.395] ,420,28.77,28.77,100546.27,256384.58,113.46,124.08,127.48,129.25,786.15,897.93,904.85,905.62,905.78,0.48,
[2026-05-06 15:42:41.412] ,419,28.77,28.73,100549.3,258520.58,112.51,123.14,126.59,128.39,779.32,890.29,897.25,898.02,898.19,0.51,
[2026-05-06 15:42:46.427] ,417,28.79,28.64,100547.3,259898.48,113.9,124.87,128.52,130.42,788.52,901.13,908.35,909.16,909.33,0.48,
[2026-05-06 15:42:51.445] ,417,28.8,28.57,100546.38,259700.73,113.03,124.09,127.86,129.82,782.08,894.06,901.39,902.22,902.39,0.48,
[2026-05-06 15:42:56.457] ,418,28.78,28.59,100546.44,256770.31,111.84,122.69,126.35,128.26,774.06,884.75,891.92,892.72,892.89,0.48,
[2026-05-06 15:43:01.469] ,419,28.77,28.65,100547.37,255234.3,111.62,122.3,125.82,127.66,772.91,883.17,890.19,890.97,891.13,0.5,
[2026-05-06 15:43:06.486] ,419,28.76,28.68,100548.23,257545.27,111.85,123,126.9,128.94,773.42,884.52,891.96,892.8,892.98,0.53,
[2026-05-06 15:43:11.500] ,419,28.76,28.69,100548.12,259700.73,113.34,124.53,128.39,130.41,783.96,896.39,903.83,904.67,904.85,0.5,
[2026-05-06 15:43:16.521] ,419,28.75,28.68,100546.16,260692.47,115.07,126.17,129.89,131.83,796.48,910.29,917.61,918.43,918.61,0.48,
[2026-05-06 15:43:21.533] ,418,28.73,28.61,100547.2,262901.16,115.97,127.34,131.22,133.25,802.29,917.22,924.76,925.61,925.79,0.48,
[2026-05-06 15:43:26.539] ,417,28.71,28.46,100548.09,264326.28,114.02,125.04,128.74,130.66,789.22,902.01,909.28,910.1,910.27,0.5,
[2026-05-06 15:43:31.563] ,417,28.7,28.4,100549.09,259898.48,112.28,122.96,126.46,128.28,777.59,888.43,895.43,896.21,896.38,0.48,
[2026-05-06 15:43:36.578] ,418,28.69,28.51,100548.19,249634.33,111.5,122.09,125.55,127.35,772.24,882.28,889.22,889.99,890.16,0.5,
[2026-05-06 15:43:41.588] ,418,28.72,28.65,100547.67,257934.52,110.81,121.49,125.06,126.92,767.1,876.67,883.71,884.5,884.67,0.5,
[2026-05-06 15:43:46.606] ,417,28.74,28.73,100547.84,263103.81,110.98,121.86,125.58,127.52,767.81,877.8,885.01,885.83,886,0.51,
[2026-05-06 15:43:51.615] ,417,28.77,28.73,100546.79,262093.67,112.59,123.7,127.53,129.53,778.79,890.46,897.84,898.68,898.85,0.5,
[2026-05-06 15:43:56.638] ,417,28.81,28.67,100546.54,259306.16,114.12,125.11,128.77,130.69,789.99,902.83,910.07,910.88,911.05,0.49,
[2026-05-06 15:44:01.651] ,417,28.8,28.53,100547,261691.8,110.93,121.32,124.65,126.38,768.59,877.88,884.66,885.41,885.57,0.49,
[2026-05-06 15:44:06.667] ,417,28.79,28.45,100547.44,252777.09,109.62,119.65,122.73,124.34,760.12,867.8,874.28,874.98,875.13,0.48,
[2026-05-06 15:44:11.679] ,417,28.77,28.5,100547.02,248001.94,109.95,119.78,122.68,124.19,762.96,870.65,876.94,877.61,877.76,0.48,
[2026-05-06 15:44:16.690] ,417,28.77,28.49,100547.55,260692.47,110.23,120.14,123.1,124.64,764.75,872.8,879.16,879.84,879.99,0.49,
[2026-05-06 15:44:21.712] ,418,28.78,28.48,100547.45,263103.81,109.89,120.14,123.39,125.09,761.51,869.72,876.39,877.12,877.28,0.5,
[2026-05-06 15:44:26.725] ,418,28.8,28.47,100546.09,263306.75,109.63,119.77,122.95,124.6,759.92,867.76,874.34,875.06,875.22,0.48,
[2026-05-06 15:44:31.731] ,417,28.81,28.47,100546.98,263917.53,108.32,118.21,121.24,122.82,751.14,857.51,863.9,864.59,864.74,0.49,
[2026-05-06 15:44:36.750] ,415,28.8,28.51,100547.16,256577.3,107.57,117.77,121.09,122.82,745.01,851.15,857.83,858.57,858.73,0.5,
[2026-05-06 15:44:41.769] ,417,28.77,28.4,100547.49,263306.75,107.5,117.85,121.29,123.09,744.16,850.45,857.26,858.03,858.19,0.51,
[2026-05-06 15:44:46.777] ,418,28.75,28.27,100547.96,265353.72,107.28,117.65,121.13,122.95,742.51,848.64,855.49,856.25,856.41,0.51,
[2026-05-06 15:44:51.795] ,417,28.76,28.27,100548.09,264941.78,106.82,117.09,120.5,122.29,739.48,845.07,851.84,852.59,852.75,0.5,
[2026-05-06 15:44:56.810] ,415,28.77,28.39,100546.91,265766.94,107.45,117.74,121.14,122.91,743.96,850.11,856.88,857.63,857.79,0.49,
[2026-05-06 15:45:01.826] ,415,28.77,28.49,100546.63,266597.25,107.58,117.81,121.16,122.91,745.01,851.21,857.92,858.67,858.83,0.51,
[2026-05-06 15:45:06.845] ,416,28.77,28.58,100546.18,266181.44,109.09,119.26,122.49,124.17,756,863.42,870.04,870.76,870.92,0.5,
[2026-05-06 15:45:11.857] ,416,28.76,28.61,100546.7,268062.81,111.74,121.97,125.11,126.76,774.81,884.57,891.18,891.9,892.06,0.49,
[2026-05-06 15:45:16.871] ,415,28.75,28.58,100548.07,267642.44,111.89,122.08,125.19,126.81,775.97,885.81,892.38,893.09,893.25,0.51,
[2026-05-06 15:45:21.885] ,415,28.74,28.5,100546.98,267014.34,111.59,121.69,124.74,126.33,774,883.46,889.96,890.67,890.82,0.5,
[2026-05-06 15:45:26.900] ,415,28.73,28.36,100545.88,268273.5,110.45,120.08,122.79,124.2,767.01,874.86,880.96,881.6,881.75,0.48,
[2026-05-06 15:45:31.910] ,414,28.74,28.39,100547.19,268695.88,110.58,119.96,122.45,123.75,768.58,876.21,882.08,882.68,882.82,0.47,
[2026-05-06 15:45:36.933] ,414,28.74,28.41,100546,267852.47,109.71,118.85,121.19,122.41,762.86,869.42,875.1,875.67,875.81,0.48,
[2026-05-06 15:45:41.940] ,412,28.74,28.43,100546.85,267642.44,108.62,118.13,120.84,122.25,754.17,860.3,866.34,866.98,867.12,0.51,
[2026-05-06 15:45:46.955] ,412,28.75,28.51,100545.64,267642.44,108.11,117.82,120.71,122.21,750.09,856.04,862.26,862.93,863.08,0.48,
[2026-05-06 15:45:51.975] ,412,28.78,28.56,100543.98,267432.75,109.07,118.77,121.61,123.09,756.95,863.72,869.92,870.58,870.73,0.49,
[2026-05-06 15:45:56.989] ,412,28.76,28.5,100543.34,267852.47,108.6,118.14,120.87,122.29,753.98,860.12,866.18,866.83,866.97,0.48,
[2026-05-06 15:46:02.004] ,412,28.74,28.4,100544.8,269544.62,102.12,111.06,113.6,114.93,709.09,808.87,814.54,815.14,815.27,0.5,
[2026-05-06 15:46:07.016] ,411,28.73,28.32,100543.66,268695.88,97.54,106.28,108.87,110.22,676.79,772.36,777.96,778.56,778.69,0.5,
[2026-05-06 15:46:12.032] ,412,28.74,28.38,100545.6,271258.28,94.29,102.76,105.27,106.59,654.21,746.61,752.04,752.62,752.75,0.5,
[2026-05-06 15:46:17.046] ,412,28.74,28.45,100545.71,269971,95.59,104.25,106.86,108.22,663.09,756.86,762.43,763.03,763.16,0.5,
[2026-05-06 15:46:22.059] ,412,28.75,28.48,100545.52,269119.59,99,107.97,110.68,112.09,686.7,783.83,789.6,790.23,790.36,0.5,
[2026-05-06 15:46:27.075] ,414,28.73,28.42,100545.27,270398.72,101.39,110.55,113.29,114.73,703.37,802.8,808.68,809.31,809.45,0.46,
[2026-05-06 15:46:32.087] ,415,28.72,28.42,100545.38,270398.72,102.61,111.91,114.72,116.19,711.74,812.41,818.4,819.04,819.19,0.49,
[2026-05-06 15:46:37.104] ,416,28.71,28.47,100544.7,272123.31,102.85,112.14,114.93,116.39,713.45,814.32,820.29,820.93,821.08,0.49,
[2026-05-06 15:46:42.122] ,419,28.71,28.51,100543.5,270184.69,102.48,111.66,114.37,115.79,711.09,811.48,817.36,817.99,818.13,0.48,
[2026-05-06 15:46:47.134] ,418,28.71,28.54,100544.89,268907.56,102.32,111.35,113.95,115.31,710.27,810.33,816.08,816.69,816.83,0.48,
[2026-05-06 15:46:52.145] ,417,28.71,28.53,100544.63,269971,101.42,110.26,112.75,114.05,704.28,803.31,808.91,809.5,809.64,0.49,
[2026-05-06 15:46:57.165] ,417,28.71,28.5,100546.02,270184.69,100.95,109.78,112.28,113.59,700.96,799.58,805.18,805.77,805.91,0.51,
[2026-05-06 15:47:02.175] ,416,28.7,28.43,100544.29,269971,102.48,111.54,114.15,115.51,711.41,811.64,817.41,818.02,818.16,0.5,
[2026-05-06 15:47:07.197] ,417,28.69,28.46,100545.18,270613.09,103,111.93,114.42,115.72,715.41,815.92,821.56,822.15,822.29,0.48,
[2026-05-06 15:47:12.205] ,419,28.68,28.58,100544.35,272123.31,101.15,109.8,112.14,113.36,702.86,801.4,806.83,807.39,807.52,0.48,
[2026-05-06 15:47:17.218] ,419,28.68,28.6,100544.87,269971,99.83,108.44,110.81,112.04,693.51,790.86,796.29,796.85,796.98,0.48,
[2026-05-06 15:47:22.239] ,416,28.68,28.58,100545.35,271042.88,99.24,107.78,110.13,111.36,689.43,786.2,791.58,792.14,792.27,0.49,
[2026-05-06 15:47:27.257] ,416,28.68,28.57,100544.7,271258.28,98.67,107.02,109.22,110.38,685.85,781.86,787.07,787.61,787.73,0.48,
[2026-05-06 15:47:32.272] ,416,28.67,28.56,100544.9,271690.09,97.56,105.84,108.06,109.21,678.02,772.99,778.18,778.72,778.84,0.5,
[2026-05-06 15:47:37.280] ,416,28.68,28.64,100545.41,269971,97.11,105.69,108.16,109.46,674.14,769.12,774.58,775.16,775.29,0.51,
[2026-05-06 15:47:42.299] ,416,28.68,28.67,100545.31,270827.81,96.64,105.72,108.63,110.14,669.57,764.81,770.73,771.39,771.53,0.52,
[2026-05-06 15:47:47.314] ,420,28.67,28.65,100544.41,270184.69,96.26,105.88,109.25,111.01,665.57,761.21,767.63,768.36,768.51,0.52,
[2026-05-06 15:47:52.323] ,419,28.66,28.6,100544.7,270827.81,96.51,106.31,109.83,111.67,666.89,762.99,769.57,770.33,770.48,0.53,
[2026-05-06 15:47:57.334] ,420,28.65,28.64,100544.43,271906.53,97.31,107.17,110.7,112.54,672.44,769.3,775.92,776.68,776.84,0.49,
[2026-05-06 15:48:02.356] ,421,28.65,28.71,100543.97,272123.31,96.58,105.78,108.79,110.36,668.86,764.21,770.24,770.91,771.06,0.45,
[2026-05-06 15:48:07.364] ,421,28.64,28.71,100543.71,272775.72,95.14,103.76,106.36,107.72,659.9,753.24,758.78,759.38,759.51,0.47,
[2026-05-06 15:48:12.382] ,420,28.64,28.7,100544.76,271690.09,93.93,102.3,104.76,106.04,651.88,743.84,749.19,749.76,749.89,0.49,
[2026-05-06 15:48:17.397] ,420,28.64,28.7,100542.91,272123.31,93.31,101.48,103.8,105.01,647.91,739.07,744.26,744.8,744.93,0.48,
[2026-05-06 15:48:22.410] ,420,28.64,28.74,100544.53,272340.44,92.66,100.56,102.69,103.8,643.91,734.16,739.11,739.63,739.75,0.49,
[2026-05-06 15:48:27.419] ,420,28.64,28.77,100543.94,273431.25,93.78,101.58,103.58,104.63,652.12,743.2,748.04,748.54,748.65,0.48,
[2026-05-06 15:48:32.441] ,420,28.64,28.79,100544.41,271690.09,94.67,102.36,104.23,105.2,658.77,750.47,755.19,755.66,755.78,0.47,
[2026-05-06 15:48:37.456] ,420,28.63,28.73,100543.59,271690.09,95.4,102.99,104.74,105.66,664.21,756.4,761.02,761.47,761.58,0.47,
[2026-05-06 15:48:42.473] ,422,28.63,28.73,100543.34,271906.53,95.45,103.07,104.83,105.75,664.58,756.84,761.48,761.93,762.04,0.48,
[2026-05-06 15:48:47.486] ,421,28.64,28.82,100545.45,271690.09,95.75,103.18,104.77,105.6,667.13,759.4,763.86,764.29,764.4,0.45,
[2026-05-06 15:48:52.499] ,420,28.68,28.83,100544.7,272123.31,96.16,103.7,105.35,106.22,669.85,762.62,767.16,767.59,767.7,0.47,
[2026-05-06 15:48:57.516] ,421,28.69,28.84,100544.2,271474.03,94.97,102.59,104.38,105.31,661.07,752.92,757.57,758.03,758.15,0.48,
[2026-05-06 15:49:02.531] ,421,28.7,28.86,100544.39,269757.62,94.19,101.87,103.75,104.73,655.36,746.63,751.35,751.82,751.94,0.48,
[2026-05-06 15:49:07.542] ,420,28.7,28.81,100542.89,271258.28,94.07,101.59,103.34,104.25,654.87,745.82,750.4,750.85,750.96,0.46,
[2026-05-06 15:49:12.567] ,421,28.69,28.77,100543.55,271258.28,93.56,100.95,102.62,103.48,651.6,741.94,746.41,746.85,746.96,0.48,
[2026-05-06 15:49:17.577] ,422,28.68,28.77,100544.48,271906.53,92.96,100.3,101.95,102.81,647.39,737.14,741.58,742.02,742.13,0.49,
[2026-05-06 15:49:22.587] ,419,28.68,28.77,100543.83,271690.09,92.21,99.85,101.78,102.78,641.31,730.81,735.54,736.02,736.13,0.52,
[2026-05-06 15:49:27.603] ,419,28.69,28.74,100543.7,272123.31,91.89,99.86,102.08,103.25,638.18,727.86,732.9,733.43,733.55,0.51,
[2026-05-06 15:49:32.616] ,419,28.71,28.72,100544.47,271258.28,90.69,98.66,100.94,102.13,629.66,718.31,723.37,723.91,724.03,0.47,
[2026-05-06 15:49:37.636] ,419,28.71,28.66,100543,271906.53,89.68,97.73,100.11,101.36,622.27,710.15,715.3,715.85,715.98,0.49,
[2026-05-06 15:49:42.655] ,419,28.71,28.6,100543.49,271906.53,89.99,98.17,100.65,101.94,624.18,712.5,717.76,718.33,718.46,0.49,
[2026-05-06 15:49:47.665] ,421,28.69,28.58,100545.37,270613.09,90.27,98.63,101.25,102.62,625.71,714.51,719.94,720.53,720.66,0.53,
[2026-05-06 15:49:52.683] ,420,28.69,28.62,100544.48,271258.28,89.71,98.27,101.07,102.54,621.26,709.85,715.46,716.09,716.22,0.52,
[2026-05-06 15:49:57.692] ,419,28.68,28.63,100545.73,273212.38,88.43,96.67,99.29,100.65,612.82,699.89,705.25,705.84,705.97,0.5,
[2026-05-06 15:50:02.709] ,418,28.68,28.66,100544.75,271906.53,86.97,94.84,97.22,98.46,603.24,688.56,693.63,694.18,694.3,0.49,
[2026-05-06 15:50:07.726] ,417,28.68,28.65,100544.56,272993.88,87.45,95.26,97.56,98.76,606.85,692.5,697.5,698.03,698.15,0.49,
[2026-05-06 15:50:12.739] ,419,28.67,28.65,100543.05,272557.91,87.53,95.31,97.58,98.77,607.45,693.12,698.09,698.62,698.74,0.5,
[2026-05-06 15:50:17.755] ,417,28.68,28.66,100543.5,271042.88,86.32,93.84,95.95,97.05,599.46,683.74,688.5,689,689.11,0.48,
[2026-05-06 15:50:22.770] ,416,28.66,28.68,100543.52,272557.91,85.23,92.72,94.85,95.97,591.76,675.07,679.82,680.32,680.44,0.49,
[2026-05-06 15:50:27.785] ,416,28.65,28.68,100544.66,274310.22,84.49,91.81,93.84,94.91,586.84,669.28,673.91,674.39,674.5,0.48,
[2026-05-06 15:50:32.802] ,413,28.63,28.66,100543.15,274751.81,84.67,91.92,93.9,94.92,588.31,670.82,675.38,675.85,675.96,0.49,
[2026-05-06 15:50:37.817] ,414,28.63,28.69,100542.76,272993.88,84.87,92.18,94.19,95.24,589.6,672.36,676.96,677.45,677.56,0.52,
[2026-05-06 15:50:42.835] ,414,28.64,28.75,100544.5,272557.91,84.01,91.32,93.37,94.44,583.46,665.48,670.1,670.58,670.69,0.5,
[2026-05-06 15:50:47.845] ,414,28.67,28.8,100543.27,272775.72,83.53,90.75,92.75,93.79,580.22,661.71,666.27,666.74,666.85,0.49,
[2026-05-06 15:50:52.867] ,413,28.69,28.77,100545.11,272123.31,83.13,90.16,92.01,92.98,577.87,658.75,663.13,663.59,663.69,0.48,
[2026-05-06 15:50:57.877] ,413,28.69,28.72,100543,272123.31,82.17,89.03,90.79,91.71,571.32,651.15,655.41,655.85,655.95,0.49,
[2026-05-06 15:51:02.892] ,413,28.68,28.64,100543.23,272557.91,82.57,89.59,91.47,92.45,573.87,654.26,658.66,659.11,659.22,0.49,
[2026-05-06 15:51:07.905] ,413,28.67,28.58,100544.54,271906.53,83.74,90.87,92.78,93.78,581.98,663.52,667.98,668.44,668.55,0.49,
[2026-05-06 15:51:12.918] ,413,28.66,28.57,100544.34,272123.31,82.93,90.01,91.91,92.9,576.32,657.09,661.53,661.99,662.09,0.48,
[2026-05-06 15:51:17.940] ,413,28.63,28.63,100544.47,275194.84,82.24,89.47,91.53,92.6,571.02,651.4,655.98,656.47,656.58,0.52,
[2026-05-06 15:51:22.952] ,412,28.63,28.65,100543.77,274089.94,82.63,89.91,92,93.1,573.61,654.4,659.03,659.52,659.63,0.49,
[2026-05-06 15:51:27.971] ,412,28.62,28.57,100544.08,271042.88,83.38,90.57,92.54,93.57,579.27,660.57,665.1,665.57,665.68,0.49,
[2026-05-06 15:51:32.979] ,414,28.62,28.61,100544.6,272123.31,83.7,90.98,93.02,94.08,581.34,663.04,667.64,668.13,668.24,0.5,
[2026-05-06 15:51:37.995] ,413,28.62,28.68,100544.23,273650.47,83.45,90.62,92.59,93.61,579.76,661.11,665.63,666.1,666.21,0.49,
[2026-05-06 15:51:43.010] ,413,28.62,28.73,100543.38,273212.38,82.27,89.38,91.35,92.37,571.48,651.73,656.22,656.69,656.79,0.5,
[2026-05-06 15:51:48.025] ,413,28.62,28.73,100543.4,271690.09,81.69,88.58,90.4,91.34,567.87,647.34,651.64,652.08,652.18,0.49,
[2026-05-06 15:51:53.040] ,411,28.61,28.68,100544.56,273431.25,81.34,88.15,89.91,90.83,565.53,644.58,648.81,649.24,649.35,0.5,
[2026-05-06 15:51:58.058] ,413,28.61,28.58,100544.99,272557.91,80.35,87.03,88.73,89.61,558.79,636.81,640.95,641.37,641.47,0.49,
[2026-05-06 15:52:03.073] ,414,28.61,28.56,100543.23,275416.91,79.64,86.11,87.68,88.5,554.17,631.31,635.28,635.67,635.77,0.5,
[2026-05-06 15:52:08.084] ,414,28.62,28.56,100544.59,274530.84,80.04,86.46,87.97,88.76,557.17,634.59,638.51,638.9,638.99,0.49,
[2026-05-06 15:52:13.096] ,415,28.63,28.58,100544.2,273650.47,80.07,86.54,88.07,88.88,557.32,634.82,638.77,639.16,639.26,0.5,
[2026-05-06 15:52:18.119] ,414,28.62,28.61,100544.69,272340.44,79.7,86.34,88.04,88.93,554.19,631.6,635.72,636.14,636.24,0.53,
[2026-05-06 15:52:23.133] ,416,28.61,28.65,100545.33,273650.47,77.87,84.89,87,88.09,540.2,616.55,621.06,621.54,621.65,0.55,
[2026-05-06 15:52:28.143] ,417,28.6,28.65,100546.55,273650.47,77.44,84.99,87.54,88.88,535.91,612.59,617.58,618.15,618.26,0.53,
[2026-05-06 15:52:33.155] ,417,28.61,28.7,100545.28,272993.88,76.49,84.29,87.11,88.58,528.44,604.65,609.9,610.51,610.63,0.52,
[2026-05-06 15:52:38.175] ,417,28.62,28.75,100545.89,273431.25,77.21,85.16,88.06,89.58,533.28,610.3,615.67,616.29,616.41,0.49,
[2026-05-06 15:52:43.192] ,417,28.66,28.77,100544.8,272557.91,77.8,85.69,88.52,89.99,537.66,615.12,620.41,621.02,621.14,0.51,
[2026-05-06 15:52:48.209] ,418,28.68,28.79,100545.68,272557.91,77,84.66,87.34,88.73,532.49,608.95,614.06,614.64,614.76,0.51,
[2026-05-06 15:52:53.215] ,420,28.71,28.79,100544.95,271258.28,75.78,83.15,85.64,86.94,524.4,599.42,604.3,604.84,604.96,0.5,
[2026-05-06 15:52:58.232] ,419,28.7,28.73,100545.2,271906.53,76.01,83.23,85.58,86.81,526.42,601.43,606.17,606.69,606.8,0.49,
[2026-05-06 15:53:03.248] ,419,28.68,28.64,100545.5,272123.31,76.43,83.46,85.64,86.77,529.9,605.02,609.57,610.06,610.17,0.49,
[2026-05-06 15:53:08.263] ,419,28.67,28.55,100545.71,273870.03,76.52,83.25,85.18,86.18,531.22,606.03,610.31,610.76,610.86,0.47,
[2026-05-06 15:53:13.283] ,419,28.65,28.49,100545.34,275194.84,75.92,82.5,84.33,85.29,527.28,601.36,605.52,605.96,606.06,0.5,
[2026-05-06 15:53:18.295] ,422,28.66,28.49,100546.06,273650.47,75.27,81.77,83.57,84.51,522.82,596.24,600.34,600.77,600.87,0.5,
[2026-05-06 15:53:23.315] ,423,28.66,28.47,100545.08,272993.88,74.44,80.9,82.7,83.64,517.05,589.7,593.78,594.21,594.31,0.51,
[2026-05-06 15:53:28.332] ,421,28.66,28.5,100545.9,273431.25,74.19,80.78,82.7,83.71,514.88,587.49,591.7,592.15,592.25,0.49,
[2026-05-06 15:53:33.345] ,420,28.65,28.57,100546.9,273870.03,74.86,81.48,83.39,84.39,519.61,592.83,597.05,597.5,597.6,0.47,
[2026-05-06 15:53:38.357] ,420,28.64,28.67,100546.19,272993.88,76.93,83.67,85.59,86.6,534.11,609.28,613.56,614.02,614.12,0.47,
[2026-05-06 15:53:43.372] ,418,28.63,28.75,100545.68,272557.91,76.84,83.48,85.32,86.27,533.78,608.74,612.92,613.36,613.46,0.48,
[2026-05-06 15:53:48.388] ,419,28.64,28.77,100546.23,276085.19,75.27,81.64,83.34,84.22,523.15,596.4,600.39,600.8,600.89,0.48,
[2026-05-06 15:53:53.409] ,418,28.65,28.77,100546.45,273431.25,73.66,79.77,81.32,82.13,512.24,583.75,587.54,587.93,588.02,0.48,
[2026-05-06 15:53:58.418] ,419,28.66,28.78,100545.91,272557.91,72.96,78.87,80.28,81.02,507.77,578.41,582.03,582.39,582.48,0.46,
[2026-05-06 15:54:03.441] ,419,28.66,28.75,100545.73,273650.47,72.44,78.11,79.35,80,504.62,574.5,577.91,578.24,578.32,0.46,
[2026-05-06 15:54:08.451] ,418,28.64,28.69,100546.02,271906.53,73.06,78.66,79.81,80.41,509.23,579.54,582.87,583.18,583.26,0.45,
[2026-05-06 15:54:13.466] ,422,28.66,28.71,100545.05,272123.31,73.03,78.49,79.53,80.07,509.32,579.42,582.63,582.92,583,0.46,
[2026-05-06 15:54:18.485] ,420,28.67,28.75,100545.24,271690.09,72.7,78.07,79.06,79.57,507.17,576.87,580.01,580.29,580.37,0.47,
[2026-05-06 15:54:23.495] ,420,28.65,28.72,100544.63,274310.22,72.95,78.35,79.34,79.86,508.93,578.88,582.04,582.33,582.4,0.48,
[2026-05-06 15:54:28.518] ,418,28.65,28.7,100545.41,272993.88,73.85,79.41,80.49,81.06,514.96,585.9,589.18,589.48,589.56,0.48,
